,Códigodo fundo,Setor,Preço Atual,Liquidez Diária,Dividendo,DividendYield,DY (3M)Acumulado,DY (6M)Acumulado,DY (12M)Acumulado,DY (3M)Média,DY (6M)Média,DY (12M)Média,DY Ano,Variação Preço,Rentab.Período,Rentab.Acumulada,PatrimônioLíq.,VPA,P/VPA,DYPatrimonial,VariaçãoPatrimonial,Rentab. Patr.no Período,Rentab. Patr.Acumulada,VacânciaFísica,VacânciaFinanceira,QuantidadeAtivos
0,APTO11,Híbrido,"R$ 10,10",280.0,"R$ 0,03","0,30%",,,,,,,,,,,"R$ 39.476.292,41","R$ 9,84",1.03,,,,,,,0
1,FIVN11,Shoppings,"R$ 2,40",73070.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,"0,00%","0,00%","0,00%","R$ 65.805.766,28","R$ 6,99",0.34,,,,,"56,00%",,1
2,BZLI11,Títulos e Val. Mob.,"R$ 14,70",440410.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,68%","0,68%","1,14%","R$ 432.739.853,66","R$ 10,89",1.35,,,,,,,0
3,XTED11,Lajes Corporativas,"R$ 6,27",1640.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","1,10%","1,10%","-37,83%","R$ 27.341.371,70","R$ 14,12",0.44,,,,,"0,00%","100,00%",1
4,ALMI11,Lajes Corporativas,"R$ 1.002,48",1820.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","2,27%","2,27%","-28,29%","R$ 250.264.016,46","R$ 2.251,04",0.45,,,,,"68,15%",,1
5,PABY11,Híbrido,"R$ 9,20",320.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","-19,84%","-19,84%","-31,62%","R$ -8.246.025,21","R$ -10,87",-0.85,,,,,,,1
6,ORPD11,Títulos e Val. Mob.,"R$ 128,79",10.0,"R$ 1,38",,,,,,,,,,,,"R$ 44.218.407,47","R$ 152,48",0.84,,,,,,,0
7,RBLG11,Logística,"R$ 88,75",10.0,"R$ 0,80","0,91%","2,64%","4,60%","0,00%","0,88%","0,77%","0,00%","5,99%","0,89%","1,81%","-14,15%","R$ 66.825.500,17","R$ 104,38",0.85,,,,,"0,00%",,1
8,QAGR11,Outros,"R$ 50,80",97650.0,"R$ 0,39","0,77%","2,31%","4,53%","8,80%","0,77%","0,76%","0,73%","8,31%","3,02%","3,81%","0,70%","R$ 301.164.497,72","R$ 59,75",0.85,,,,,,,12
9,GGRC11,Logística,"R$ 115,81",68400.0,"R$ 0,82","0,72%","2,18%","4,24%","7,76%","0,73%","0,71%","0,65%","7,76%","7,83%","8,60%","-12,39%","R$ 1.023.742.704,72","R$ 131,95",0.88,,,,,"0,00%","0,00%",15
10,CXRI11,Híbrido,"R$ 68,15",7390.0,"R$ 0,55","0,80%","2,10%","3,94%","7,27%","0,70%","0,66%","0,61%","7,27%","0,59%","1,40%","-35,12%","R$ 138.937.265,23","R$ 88,17",0.77,,,,,,,0
11,CRFF11,Títulos e Val. Mob.,"R$ 66,46",950.0,"R$ 0,51","0,75%","1,92%","3,62%","7,14%","0,64%","0,60%","0,60%","7,14%","1,37%","2,13%","-11,62%","R$ 61.069.208,29","R$ 88,50",0.75,,,,,,,0
