codigo;acao;tipo;qtd_teorica;part
RRRP3;3R PETROLEUM;ON      NM;195.200.588;0,246
ABCB4;ABC BRASIL;PN      N2;69.079.780;0,051
AERI3;AERIS;ON      NM;218.058.827;0,072
AESB3;AES BRASIL;ON      NM;311.241.191;0,152
ALSO3;ALIANSCSONAE;ON      NM;126.260.263;0,116
AALR3;ALLIAR;ON      NM;43.756.055;0,033
ALPA4;ALPARGATAS;PN      N1;167.963.777;0,282
ALUP11;ALUPAR;UNT     N2;138.342.085;0,143
ABEV3;AMBEV S/A;ON;4.358.814.864;2,873
AMBP3;AMBIPAR;ON      NM;43.854.659;0,077
AMER3;AMERICANAS;ON      NM;546.064.815;0,643
ANIM3;ANIMA;ON      NM;289.500.543;0,107
ARZZ3;AREZZO CO;ON  EDJ NM;53.951.069;0,174
ASAI3;ASSAI;ON      NM;794.116.430;0,478
AZUL4;AZUL;PN      N2;327.741.172;0,35
B3SA3;B3;ON      NM;6.079.530.858;3,11
BMGB4;BANCO BMG;PN      N1;100.300.860;0,013
BIDI4;BANCO INTER;PN      N2;186.303.277;0,095
BIDI11;BANCO INTER;UNT     N2;477.617.336;0,74
BPAN4;BANCO PAN;PN      N1;341.124.068;0,19
BRSR6;BANRISUL;PNB     N1;202.522.840;0,083
BBSE3;BBSEGURIDADE;ON      NM;671.629.692;0,587
BMOB3;BEMOBI TECH;ON      NM;86.869.818;0,055
BKBR3;BK BRASIL;ON      NM;272.245.759;0,081
BOAS3;BOA VISTA;ON      NM;531.381.332;0,149
BBRK3;BR BROKERS;ON      NM;77.941.395;0,004
BRML3;BR MALLS PAR;ON      NM;843.728.684;0,292
BRPR3;BR PROPERT;ON      NM;187.579.163;0,06
BBDC3;BRADESCO;ON  EJ  N1;1.378.842.305;0,98
BBDC4;BRADESCO;PN  EJ  N1;4.691.427.537;3,918
BRAP4;BRADESPAR;PN      N1;251.426.773;0,556
BBAS3;BRASIL;ON      NM;1.420.530.937;1,908
AGRO3;BRASILAGRO;ON      NM;51.771.532;0,053
BRKM5;BRASKEM;PNA ED  N1;264.642.296;0,593
BRFS3;BRF SA;ON      NM;811.759.800;0,675
BPAC11;BTGP BANCO;UNT     N2;1.301.655.996;1,225
CXSE3;CAIXA SEGURI;ON      NM;517.500.000;0,188
CAML3;CAMIL;ON  EJ  NM;114.319.945;0,046
CRFB3;CARREFOUR BR;ON      NM;410.988.561;0,264
CCRO3;CCR SA;ON      NM;1.115.693.556;0,576
CEAB3;CEA MODAS;ON      NM;106.394.635;0,029
CMIG3;CEMIG;ON      N1;277.516.331;0,213
CMIG4;CEMIG;PN      N1;1.114.214.662;0,643
CESP6;CESP;PNB     N1;182.017.689;0,172
CIEL3;CIELO;ON      NM;1.144.359.228;0,111
COGN3;COGNA ON;ON      NM;1.847.994.874;0,221
CSMG3;COPASA;ON      NM;188.444.559;0,101
CPLE3;COPEL;ON      N2;319.774.264;0,079
CPLE6;COPEL;PNB     N2;1.563.365.506;0,415
CSAN3;COSAN;ON      NM;1.169.237.744;1,075
CPFE3;CPFL ENERGIA;ON  ED  NM;187.732.538;0,206
CMIN3;CSNMINERACAO;ON      N2;1.216.466.645;0,336
CARD3;CSU CARDSYST;ON      NM;18.217.771;0,01
CURY3;CURY S/A;ON  ED  NM;104.486.454;0,031
CVCB3;CVC BRASIL;ON      NM;224.571.661;0,15
CYRE3;CYRELA REALT;ON      NM;281.609.283;0,191
DXCO3;DEXCO;ON      NM;272.062.873;0,218
DEXP3;DEXXOS PAR;ON      N1;53.766.810;0,024
PNVL3;DIMED;ON      NM;71.745.377;0,04
DIRR3;DIRECIONAL;ON      NM;75.384.053;0,04
ECOR3;ECORODOVIAS;ON      NM;339.237.914;0,124
ELET3;ELETROBRAS;ON      N1;358.028.908;0,524
ELET6;ELETROBRAS;PNB     N1;242.987.127;0,349
EMBR3;EMBRAER;ON      NM;734.558.205;0,65
ENAT3;ENAUTA PART;ON      NM;76.634.938;0,045
ENBR3;ENERGIAS BR;ON      NM;231.489.471;0,202
ENGI11;ENERGISA;UNT     N2;248.542.219;0,476
ENEV3;ENEVA;ON      NM;1.261.568.398;0,773
EGIE3;ENGIE BRASIL;ON      NM;255.217.329;0,414
ENJU3;ENJOEI;ON      NM;158.821.493;0,021
EQTL3;EQUATORIAL;ON      NM;1.010.511.085;0,998
ESPA3;ESPACOLASER;ON      NM;161.437.857;0,059
EVEN3;EVEN;ON      NM;199.399.963;0,056
EZTC3;EZTEC;ON      NM;101.618.236;0,091
FESA4;FERBASA;PN  EJ  N1;40.165.900;0,081
FLRY3;FLEURY;ON      NM;303.005.900;0,238
GFSA3;GAFISA;ON      NM;118.208.091;0,011
GGBR4;GERDAU;PN      N1;1.097.534.498;1,342
GOAU4;GERDAU MET;PN      N1;698.275.321;0,352
GETT11;GETNET BR;UNT;90.675.849;0,015
GOLL4;GOL;PN      N2;167.095.214;0,133
GGPS3;GPS;ON      NM;385.222.623;0,275
GRND3;GRENDENE;ON      NM;268.367.380;0,099
GMAT3;GRUPO MATEUS;ON      NM;463.952.163;0,118
NTCO3;GRUPO NATURA;ON  ATZ NM;843.870.809;0,912
SBFG3;GRUPO SBF;ON      NM;95.476.145;0,101
SOMA3;GRUPO SOMA;ON      NM;421.176.954;0,25
GUAR3;GUARARAPES;ON;81.934.660;0,037
HAPV3;HAPVIDA;ON      NM;1.306.939.210;0,605
HBOR3;HELBOR;ON      NM;65.306.596;0,013
HBSA3;HIDROVIAS;ON      NM;760.109.566;0,105
HYPE3;HYPERA;ON      NM;411.803.359;0,502
IGTI11;IGUATEMI S.A;UNT     N1;18.656.175;0,158
PARD3;IHPARDINI;ON  EJ  NM;41.617.930;0,037
MEAL3;IMC S/A;ON      NM;264.997.832;0,031
ROMI3;INDS ROMI;ON      NM;37.272.660;0,028
INTB3;INTELBRAS;ON      NM;82.226.741;0,095
GNDI3;INTERMEDICA;ON      NM;592.114.608;1,56
MYPK3;IOCHP-MAXION;ON      NM;137.561.133;0,091
RANI3;IRANI;ON      NM;106.103.165;0,031
IRBR3;IRBBRASIL RE;ON      NM;1.255.286.531;0,227
ITSA4;ITAUSA;PN      N1;4.515.559.175;1,81
ITUB3;ITAUUNIBANCO;ON      N1;385.293.206;0,317
ITUB4;ITAUUNIBANCO;PN      N1;4.780.002.924;4,377
JBSS3;JBS;ON      NM;1.346.828.080;1,958
JHSF3;JHSF PART;ON      NM;305.915.142;0,072
KEPL3;KEPLER WEBER;ON;30.332.816;0,045
KLBN11;KLABIN S/A;UNT     N2;812.994.397;0,86
LAVV3;LAVVI;ON      NM;93.139.429;0,021
LIGT3;LIGHT S/A;ON      NM;372.555.324;0,175
RENT3;LOCALIZA;ON      NM;593.944.309;1,392
LCAM3;LOCAMERICA;ON      NM;324.522.975;0,338
LWSA3;LOCAWEB;ON      NM;431.783.548;0,265
LOGG3;LOG COM PROP;ON      NM;59.190.591;0,062
LOGN3;LOG-IN;ON      NM;100.340.344;0,094
LAME3;LOJAS AMERIC;ON      N1;246.443.270;0,054
LAME4;LOJAS AMERIC;PN      N1;853.524.256;0,185
AMAR3;LOJAS MARISA;ON  ES  NM;146.302.201;0,025
LREN3;LOJAS RENNER;ON      NM;978.697.849;1,149
LPSB3;LOPES BRASIL;ON      NM;114.874.308;0,012
MDIA3;M.DIASBRANCO;ON      NM;83.169.222;0,095
MGLU3;MAGAZ LUIZA;ON      NM;2.820.185.158;0,742
POMO4;MARCOPOLO;PN      N2;557.765.916;0,063
MRFG3;MARFRIG;ON      NM;348.234.011;0,317
CASH3;MELIUZ;ON      NM;543.488.802;0,086
MELK3;MELNICK;ON      NM;76.155.470;0,014
LEVE3;METAL LEVE;ON      NM;38.492.518;0,05
MILS3;MILLS;ON      NM;113.954.358;0,031
BEEF3;MINERVA;ON      NM;242.962.308;0,086
